date,TU,FV,TY,UXY,US,WN
12/19/2017,106.9336,115.148438,120.125,127.140625,137.40625,164.21875
12/20/2017,106.918,115.046875,119.875,126.78125,136.46875,162.71875
12/21/2017,106.8945,115.015625,119.921875,126.953125,137.03125,163.90625
12/22/2017,106.8633,115,119.921875,126.96875,137.0625,163.9375
12/26/2017,106.8711,115.0625,120.0625,127.171875,137.53125,164.625
12/27/2017,106.918,115.234375,120.40625,127.765625,138.90625,166.625
12/28/2017,106.8867,115.164062,120.25,127.5625,138.625,166.3125
12/29/2017,106.9102,115.257812,120.453125,127.796875,138.875,166.71875
1/2/2018,106.8477,115.078125,120.09375,127.203125,137.65625,164.8125
1/3/2018,106.8242,115.078125,120.203125,127.421875,138.21875,165.5625
1/4/2018,106.7852,114.96875,120.09375,127.328125,138.25,165.53125
1/5/2018,106.7773,114.898438,119.9375,127.09375,137.71875,164.8125
1/8/2018,106.7773,114.882812,119.90625,127.046875,137.59375,164.71875
1/9/2018,106.7695,114.726562,119.46875,126.3125,136.09375,162.59375
1/10/2018,106.7695,114.710938,119.421875,126.234375,135.96875,162.46875
1/11/2018,106.7695,114.773438,119.546875,126.4375,136.375,163.25
1/12/2018,106.707,114.617188,119.359375,126.28125,136.40625,163.5625
1/16/2018,106.6758,114.59375,119.390625,126.375,136.71875,164.03125
1/17/2018,106.6289,114.414062,119.09375,126.015625,136.25,163.59375
1/18/2018,106.6289,114.359375,118.875,125.609375,135.34375,162.4375
1/19/2018,106.6055,114.234375,118.703125,125.328125,134.875,161.6875
1/22/2018,106.5898,114.140625,118.53125,125.078125,134.625,161.3125
1/23/2018,106.6445,114.328125,118.875,125.515625,135.15625,162.03125
1/24/2018,106.6055,114.210938,118.640625,125.140625,134.375,161
1/25/2018,106.5977,114.3125,118.859375,125.53125,135.3125,162.59375
1/26/2018,106.5273,114.0625,118.484375,125.078125,134.625,161.71875
1/29/2018,106.5195,113.96875,118.21875,124.6875,134,160.9375
1/30/2018,106.5273,113.921875,118.0625,124.390625,133.25,159.96875
1/31/2018,106.4805,113.804688,118.015625,124.46875,133.75,161.09375
2/1/2018,106.4492,113.648438,117.640625,123.859375,132.46875,159.25
2/2/2018,106.4648,113.5,117.15625,122.953125,130.71875,156.6875
2/5/2018,106.5977,113.882812,117.6875,123.609375,131.59375,157.46875
2/6/2018,106.5664,113.929688,117.921875,123.921875,131.96875,158.15625
2/7/2018,106.5039,113.671875,117.4375,123.125,130.5625,156.15625
2/8/2018,106.5039,113.65625,117.328125,122.890625,130,155.75
2/9/2018,106.6289,113.90625,117.578125,123.09375,130,155.59375
2/12/2018,106.5508,113.726562,117.3125,122.828125,130.28125,155.6875
2/13/2018,106.5273,113.734375,117.421875,122.96875,130.5,155.90625
2/14/2018,106.3867,113.304688,116.765625,122.140625,129.28125,154.46875
2/15/2018,106.3789,113.304688,116.875,122.359375,129.875,155.34375
2/16/2018,106.4102,113.390625,117.015625,122.546875,130.125,155.625
2/20/2018,106.3555,113.304688,116.90625,122.421875,129.8125,155.0625
2/21/2018,106.3398,113.1875,116.640625,121.921875,128.59375,153.28125
2/22/2018,106.3789,113.328125,116.84375,122.21875,129.0625,153.75
2/23/2018,106.4023,113.476562,117.15625,122.734375,129.96875,155.0625
2/26/2018,106.4336,113.539062,117.25,122.90625,130.125,155.1875
2/27/2018,106.3477,113.21875,116.765625,122.34375,129.40625,154.59375
2/28/2018,106.3555,113.3125,117.015625,122.796875,130.34375,155.875
3/1/2018,106.4805,113.710938,117.59375,123.53125,131.3125,157.0625
3/2/2018,106.4102,113.484375,117.171875,122.96875,130.34375,155.84375
3/5/2018,106.3945,113.40625,117.046875,122.734375,129.96875,155.3125
3/6/2018,106.3945,113.382812,117.03125,122.78125,130.28125,155.6875
3/7/2018,106.3633,113.367188,117,122.75,130.03125,155.3125
3/8/2018,106.3711,113.429688,117.15625,122.96875,130.46875,155.84375
3/9/2018,106.3633,113.359375,117,122.703125,130.0625,155.15625
3/12/2018,106.3789,113.445312,117.1875,123,130.65625,155.9375
3/13/2018,106.3945,113.476562,117.296875,123.21875,131.03125,156.71875
3/14/2018,106.4023,113.570312,117.53125,123.59375,131.8125,158
3/15/2018,106.3633,113.523438,117.5,123.53125,131.71875,157.90625
3/16/2018,106.3477,113.398438,117.328125,123.328125,131.34375,157.34375
3/19/2018,106.3555,113.429688,117.359375,123.359375,131.4375,157.40625
3/20/2018,106.2852,113.242188,117.078125,122.96875,130.71875,156.5
3/21/2018,106.3242,113.1875,116.953125,122.703125,130.4375,156.09375
3/22/2018,106.3711,113.492188,117.5,123.5625,131.6875,157.78125
3/23/2018,106.4102,113.617188,117.609375,123.640625,131.65625,157.65625
3/26/2018,106.3789,113.492188,117.453125,123.484375,131.65625,157.71875
3/27/2018,106.4492,113.75,117.875,124.03125,132.53125,158.8125
3/28/2018,106.4023,113.742188,117.890625,124.203125,132.78125,159.28125
3/29/2018,106.4258,113.84375,118.109375,124.59375,133.53125,160.4375
4/2/2018,106.4961,113.96875,118.234375,124.734375,133.625,160.46875
4/3/2018,106.4102,113.703125,117.828125,124.171875,132.78125,159.1875
4/4/2018,106.4102,113.6875,117.8125,124.0625,132.625,158.875
4/5/2018,106.3711,113.53125,117.546875,123.609375,131.78125,157.6875
4/6/2018,106.4492,113.789062,117.984375,124.265625,132.96875,159.25
4/9/2018,106.418,113.703125,117.875,124.171875,133,159.3125
4/10/2018,106.3789,113.609375,117.765625,124.046875,132.875,159.34375
4/11/2018,106.3789,113.625,117.8125,124.125,133.03125,159.59375
4/12/2018,106.3164,113.382812,117.4375,123.640625,132.28125,158.625
4/13/2018,106.2695,113.34375,117.484375,123.703125,132.3125,158.71875
4/16/2018,106.2773,113.335938,117.4375,123.703125,132.34375,158.875
4/17/2018,106.2695,113.359375,117.53125,123.90625,132.96875,159.8125
4/18/2018,106.1836,113.101562,117.125,123.328125,131.84375,158.5
4/19/2018,106.1758,112.984375,116.8125,122.828125,130.6875,156.875
4/20/2018,106.1523,112.84375,116.53125,122.40625,130,155.9375
4/23/2018,106.1211,112.71875,116.3125,122.15625,129.84375,155.90625
4/24/2018,106.1523,112.773438,116.3125,122.0625,129.40625,155.09375
4/25/2018,106.1289,112.679688,116.078125,121.65625,128.65625,154.09375
4/26/2018,106.1367,112.765625,116.28125,122,129.28125,154.96875
4/27/2018,106.1523,112.835938,116.484375,122.375,130.125,156.3125
4/30/2018,106.1445,112.90625,116.609375,122.640625,130.78125,157.09375
5/1/2018,106.1055,112.734375,116.359375,122.21875,130.03125,156
5/2/2018,106.1367,112.835938,116.5,122.359375,130.1875,156.09375
5/3/2018,106.1602,112.929688,116.65625,122.5625,130.4375,156.46875
5/4/2018,106.1289,112.914062,116.703125,122.609375,130.5625,156.6875
5/7/2018,106.1367,112.898438,116.671875,122.53125,130.46875,156.5625
5/8/2018,106.1133,112.796875,116.484375,122.328125,130.28125,156.40625
5/9/2018,106.0664,112.664062,116.25,121.9375,129.59375,155.625
5/10/2018,106.0508,112.671875,116.375,122.1875,130.09375,156.5625
5/11/2018,106.0586,112.671875,116.390625,122.203125,130.03125,156.71875
5/14/2018,106.0508,112.632812,116.21875,121.921875,129.65625,156.25
5/15/2018,105.9883,112.296875,115.59375,120.984375,127.96875,154.0625
